name,var_name,var_value,region,type,carrier,tech
biomass-excess,flow_in_bus,66387.16482691199,,excess,biomass,
electricity-excess,flow_in_bus,1574747.085412912,,excess,electricity,
sun,flow_out_energy,8782362.601602914,,volatile,solar,source
back-up-water,flow_out_bus,15284756.356660033,,dispatchable,water,source
back-up-water,invest_costs_out_bus,0.0,,dispatchable,water,source
back-up-water,invest_out_bus,229522.04,,dispatchable,water,source
water-excess,flow_in_bus,0.002466912,,excess,water,
apv-system,flow_in_bus,15284756.356660033,,,,mimo
apv-system,flow_in_energy,8782362.592802914,,,,mimo
apv-system,flow_out_bus,66387.16482691199,,,,mimo
apv-system,flow_out_bus,1574747.085412912,,,,mimo
apv-system,flow_out_bus,0.002466912,,,,mimo
system,total_system_cost,0.0,,,,
