name,var_name,var_value,region,type,carrier,tech
photovoltaics,flow_out_elec,23.049898501999998,,volatile,electricity,pv
photovoltaics,invest_costs_out_elec,487.22463408600004,,volatile,electricity,pv
photovoltaics,invest_out_elec,3.5517177,,volatile,electricity,pv
battery-storage,flow_in_elec,23.049898501999998,,storage,energy,battery
battery-storage,flow_out_elec,19.509434140000003,,storage,energy,battery
battery-storage,invest,21.205907,,storage,energy,battery
battery-storage,invest_costs,2267.1235173699997,,storage,energy,battery
battery-storage,invest_costs_in_elec,0.0,,storage,energy,battery
battery-storage,invest_costs_out_elec,0.0,,storage,energy,battery
battery-storage,invest_in_elec,21.205907,,storage,energy,battery
battery-storage,invest_out_elec,21.205907,,storage,energy,battery
battery-storage,storage_losses,3.5404643619999945,,storage,energy,battery
diesel-generator,flow_in_bus,0.0,,conversion,energy,diesel-generator
diesel-generator,flow_out_elec,0.0,,conversion,energy,diesel-generator
inverter,flow_in_elec,19.509434140000003,,conversion,energy,inverter
inverter,flow_out_elec,17.558490719999998,,conversion,energy,inverter
inverter,invest_costs_out_elec,82.723232232,,conversion,energy,inverter
inverter,invest_out_elec,8.5106206,,conversion,energy,inverter
diesel,flow_out_bus,0.0,,dispatchable,energy,source
solar-resource,flow_out_bus,0.0,,dispatchable,energy,source
wind-resource,flow_out_bus,0.0,,dispatchable,energy,source
electricity-grid,flow_out_elec,0.0,,dispatchable,energy,source
diesel,invest_costs_out_bus,-0.0,,dispatchable,energy,source
solar-resource,invest_costs_out_bus,-0.0,,dispatchable,energy,source
wind-resource,invest_costs_out_bus,-0.0,,dispatchable,energy,source
electricity-grid,invest_costs_out_elec,-0.0,,dispatchable,energy,source
diesel,invest_out_bus,-0.0,,dispatchable,energy,source
solar-resource,invest_out_bus,-0.0,,dispatchable,energy,source
wind-resource,invest_out_bus,-0.0,,dispatchable,energy,source
electricity-grid,invest_out_elec,-0.0,,dispatchable,energy,source
diesel,summed_variable_costs_out_bus,0.0,,dispatchable,energy,source
electricity-grid,summed_variable_costs_out_elec,0.0,,dispatchable,energy,source
wind-turbine,flow_out_elec,1776.053269,,volatile,energy,wind-turbine
wind-turbine,invest_costs_out_elec,34232.2257605,,volatile,energy,wind-turbine
wind-turbine,invest_out_elec,124.76665,,volatile,energy,wind-turbine
condensed-water,flow_out_water,0.07919999999999999,,volatile,water,ac-discharge
condensed-water,summed_variable_costs_out_water,0.07919999999999999,,volatile,water,ac-discharge
water-filtration-system,flow_in_elec,-1.57477059e-12,,water-filtration,water,filtration
water-filtration-system,flow_in_water,0.0,,water-filtration,water,filtration
water-filtration-system,flow_out_water,-1.57477059e-12,,water-filtration,water,filtration
water-filtration-system,invest_costs_out_water,-0.0,,water-filtration,water,filtration
water-filtration-system,invest_out_water,-0.0,,water-filtration,water,filtration
water pump,flow_in_bus,0.0,,water-pump,water,pumping
water pump,flow_in_elec,0.0,,water-pump,water,pumping
water pump,flow_out_water,0.0,,water-pump,water,pumping
water pump,invest_costs_out_water,-0.0,,water-pump,water,pumping
water pump,invest_out_water,-0.0,,water-pump,water,pumping
rainwater-harvesting,flow_out_water,0.0,,volatile,water,rainwater-harvesting
rainwater-harvesting,invest_costs_out_water,-0.0,,volatile,water,rainwater-harvesting
rainwater-harvesting,invest_out_water,-0.0,,volatile,water,rainwater-harvesting
sw-ro,flow_in_bus,0.0,,,water,ro
sw-ro,flow_in_elec,235.7127,,,water,ro
sw-ro,flow_out_bus,29.464087499999998,,,water,ro
sw-ro,flow_out_water,29.464087499999998,,,water,ro
sw-ro,invest_costs_in_bus,-0.0,,,water,ro
sw-ro,invest_in_bus,-0.0,,,water,ro
groundwater,flow_out_bus,0.0,,dispatchable,water,source
precipitation,flow_out_bus,0.0,,dispatchable,water,source
seawater-source,flow_out_bus,0.0,,dispatchable,water,source
bottled-water,flow_out_water,0.0,,dispatchable,water,source
water-truck,flow_out_water,28.6762324319,,dispatchable,water,source
groundwater,invest_costs_out_bus,-0.0,,dispatchable,water,source
precipitation,invest_costs_out_bus,-0.0,,dispatchable,water,source
seawater-source,invest_costs_out_bus,-0.0,,dispatchable,water,source
bottled-water,invest_costs_out_water,-0.0,,dispatchable,water,source
water-truck,invest_costs_out_water,0.0,,dispatchable,water,source
groundwater,invest_out_bus,-0.0,,dispatchable,water,source
precipitation,invest_out_bus,-0.0,,dispatchable,water,source
seawater-source,invest_out_bus,-0.0,,dispatchable,water,source
bottled-water,invest_out_water,-0.0,,dispatchable,water,source
water-truck,invest_out_water,4.909195,,dispatchable,water,source
bottled-water,summed_variable_costs_out_water,0.0,,dispatchable,water,source
water-truck,summed_variable_costs_out_water,149.11640864588,,dispatchable,water,source
drinking-water-storage,flow_in_water,18.006099899998425,,storage,water,storage
service-water-storage,flow_in_water,0.110768988,,storage,water,storage
drinking-water-storage,flow_out_water,17.29305839999931,,storage,water,storage
service-water-storage,flow_out_water,0.10638253598441125,,storage,water,storage
drinking-water-storage,invest,14.913844,,storage,water,storage
service-water-storage,invest,0.016261498,,storage,water,storage
drinking-water-storage,invest_costs,279.18715968,,storage,water,storage
service-water-storage,invest_costs,0.5473620226799999,,storage,water,storage
drinking-water-storage,invest_costs_in_water,0.0,,storage,water,storage
service-water-storage,invest_costs_in_water,0.0,,storage,water,storage
drinking-water-storage,invest_costs_out_water,0.0,,storage,water,storage
service-water-storage,invest_costs_out_water,0.0,,storage,water,storage
drinking-water-storage,invest_in_water,14.913844,,storage,water,storage
service-water-storage,invest_in_water,0.016261498,,storage,water,storage
drinking-water-storage,invest_out_water,14.913844,,storage,water,storage
service-water-storage,invest_out_water,0.016261498,,storage,water,storage
drinking-water-storage,storage_losses,0.7130414999991146,,storage,water,storage
service-water-storage,storage_losses,0.0043864520155887515,,storage,water,storage
brine-excess,flow_in_bus,29.464087499999998,,excess,,
elec-demand,flow_in_elec,1223.83005104,DE,load,,
electricity-excess,flow_in_elec,334.069009,,excess,,
drinking-water-demand,flow_in_water,28.751046000000002,DE,load,,
service-water-demand,flow_in_water,28.751046000000002,CO,load,,
system,total_system_cost,37498.22727453655,,,,
